Sl. No,State/UT,NPKS - Demand for 2024-25,NPKS - Pro Rata Demand from 01-04-2024 to 26-03-2025,NPKS - Availability from 01-04-2024 to 26-03-2025,NPKS - Sales from 01-04-2024 to 26-03-2025,NPKS - Closing Stock as on 26-03-2025
1,Andaman and Nicobar Islands,0,0,0,0,0
2,Andhra Pradesh,16,15.87,18.26,15.7,2.57
3,Arunachal Pradesh,0,0,0,0,0
4,Assam,0.55,0.54,0.62,0.48,0.15
5,Bihar,6,5.98,7.43,6.02,1.42
6,Chandigarh,0,0,0,0,0
7,Chhattisgarh,1.8,1.79,2.83,2.33,0.49
8,Dadra and Nagar,0,0,0,0,0
9,Daman and Diu,0,0,0,0,0
10,Delhi,0,0,0,0,0
11,Goa,0.04,0.04,0.03,0.03,0
12,Gujarat,7,6.94,9.88,8.29,1.59
13,Haryana,1.7,1.68,1.3,1.02,0.28
14,Himachal Pradesh,0.37,0.37,0.4,0.32,0.08
15,Jammu and Kashmir,0.04,0.04,0.02,0.01,0.01
16,Jharkhand,0.65,0.65,1.08,0.84,0.24
17,Karnataka,16.2,16.06,25.16,20.74,4.42
18,Kerala,1.37,1.35,1.48,1.25,0.23
19,Lakshadweep,0,0,0,0,0
20,Madhya Pradesh,8.5,8.44,11.76,9.75,2.01
21,Maharashtra,30,29.75,37.24,28.61,8.64
22,Manipur,0.02,0.02,0.01,0.01,0
23,Meghalaya,0.01,0.01,0,0,0
24,Mizoram,0,0,0,0,0
25,Nagaland,0,0,0,0,0
26,Odisha,2.75,2.73,4.03,3.23,0.8
27,Puducherry,0.07,0.07,0.11,0.08,0.03
28,Punjab,2.5,2.49,1.72,1.4,0.32
29,Rajasthan,2.25,2.24,3,2.54,0.46
30,Sikkim,1,1,1,1,1
31,Tamil Nadu,10.54,10.44,10.04,8.39,1.65
32,Telangana,17,16.81,17.32,14.94,2.38
33,Tripura,0.04,0.04,0.04,0.03,0.01
34,Uttarakhand,0.4,0.4,0.28,0.2,0.07
35,Uttar Pradesh,14.5,14.46,12.74,10.44,2.3
36,West Bengal,11,10.89,15.11,12.11,3
All India,All India,151.29,150.1,181.89,148.77,33.12
